Company Name,Near term - Target Year search terms,Long term - Target Year search terms,Net-Zero Year search terms,variable,value,Near term - Target Year match,Long term - Target Year match,Net-Zero Year match
Holcim Ltd.,['2030'],['2050'],['2050'],10,Long-Term Targets: Holcim commits to reduce scope 1 and scope 2 GHG emissions 95% per ton of cementitious materials by 2050 from a 2018 base year,,x,x
Holcim Ltd.,['2030'],['2050'],['2050'],11,* Holcim also commits to reduce absolute scope 3 GHG emissions 90% by 2050 from a 2020 base year,,x,x
Holcim Ltd.,['2030'],['2050'],['2050'],12,**,,,
Holcim Ltd.,['2030'],['2050'],['2050'],13,*The target boundary includes land related emissions and removals from bioenergy feedstocks,,,
Holcim Ltd.,['2030'],['2050'],['2050'],14,**This net-zero validation was evaluated within the parameters of the BA1,,,
Holcim Ltd.,['2030'],['2050'],['2050'],15,5C campaign,,,
Holmen AB,['2030'],,,0,Holmen commits to reduce scope 1 and 2 GHG emissions 15,,,
Holmen AB,['2030'],,,1,1% per ton of paper and pulp by 2030 from a 2019 base year,x,,
Holmen AB,['2030'],,,2,* Holmen commits to reduce scope 3 GHG emissions from upstream and downstream transportation and distribution 22% per tonne-kilometre over the same timeframe,,,
Holmen AB,['2030'],,,3,Holmen commits to reduce scope 3 GHG emissions from fuel- and energy_x0002_related activities 22% per tonne of woody biomass over the same timeframe,,,
Holmen AB,['2030'],,,4,Holmen commits that 35% of its suppliers by emissions covering purchased goods and services will have science-based targets by 2025,,,
Holmen AB,['2030'],,,5,*The target boundary includes bioenergy emissions and removals from biogenic sources,,,
Holocene UG (haftungsbeschränkt),['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Holocene UG (haftungsbeschränkt),['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Holocene UG (haftungsbeschränkt) commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
"Holt, Renfrew & Co., Limited","['2030', '2025']",,,0,Holt Renfrew commits to reduce absolute scope 1 and 2 GHG emissions 65% by 2030 from a 2019 base year,x,,
"Holt, Renfrew & Co., Limited","['2030', '2025']",,,1,Holt Renfrew commits to reduce absolute scope 3 GHG emissions 28% by 2030 from a 2019 base year,x,,
"Holt, Renfrew & Co., Limited","['2030', '2025']",,,2,Holt Renfrew also commits that 67% of its suppliers by spend from purchased goods and services and upstream and downstream transportation will have science-based targets by 2025,x,,
Hongkong Land Holdings Limited,['2030'],,,0,Hongkong Land Holdings Limited commits to reduce absolute scope 1 and 2 GHG emissions 46,,,
Hongkong Land Holdings Limited,['2030'],,,1,2% by 2030 from a 2019 base year,x,,
Hongkong Land Holdings Limited,['2030'],,,2,Hongkong Land Holdings Limited also commits to reduce scope 3 GHG emissions from purchased goods and services and capital goods 22% per square metre of new built area within the same timeframe,,,
Hopkins Architects Limited,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Hopkins Architects Limited,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Hopkins Architects Limited commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
"Host Hotels & Resorts, Inc.",['2025'],,,0,Host Hotels & Resorts commits to reduce scope 1 and 2 GHG emissions 55% per square foot by 2025 from a 2008 base year,x,,
House of Baukjen,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
House of Baukjen,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ House of Baukjen commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
Hoyer Handel GmbH,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Hoyer Handel GmbH,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Hoyer Handel GmbH commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
"Hudson Pacific Properties, Inc.",['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"Hudson Pacific Properties, Inc.",['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Hudson Pacific Properties, Inc",,,
"Hudson Pacific Properties, Inc.",['2030'],,,2,"commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions""",x,,
Hufvudstaden AB,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Hufvudstaden AB,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Hufvudstaden AB commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
Hugh Lowe Farms Ltd,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Hugh Lowe Farms Ltd,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Hugh Lowe Farms Ltdcommits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
Hugo Boss AG,['2030'],,,0,Hugo Boss AG commits to reduce absolute scope 1 and 2 GHG emissions 51% by 2030 from a 2018 base year,x,,
Hugo Boss AG,['2030'],,,1,Hugo Boss AG also commits to reduce absolute scope 3 GHG emissions from purchased goods and services as well as upstream and downstream transportation 30% by 2030 from a 2018 base year,x,,
Huhtamäki Oyj,"['2030', '2026']",,,0,Huhtamäki Oyj commits to reduce absolute scope 1 and 2 GHG emissions 27,,,
Huhtamäki Oyj,"['2030', '2026']",,,1,5% by 2030 from a 2019 base year,x,,
Huhtamäki Oyj,"['2030', '2026']",,,2,Huhtamäki Oyj also commits to reduce absolute scope 3 GHG emissions from end-of-life treatment of sold products by 13,,,
Huhtamäki Oyj,"['2030', '2026']",,,3,5% within the same timeframe,,,
Huhtamäki Oyj,"['2030', '2026']",,,4,Huhtamäki Oyj commits that 70% of its suppliers by spend covering purchased good and services will have science-based targets by 2026,x,,
Hulamin,['2030'],,,0,Hulamin commits to reduce absolute scope 1 and scope 2 GHG emissions 30% by 2030 from a 2018 base year,x,,
Hulamin,['2030'],,,1,Hulamin also commits to reduce scope 3 GHG emissions 24% per ton of aluminium produced by 2030 from a 2018 base year,x,,
"Hulic Co., Ltd.",['2030'],,,0,Hulic Co,,,
"Hulic Co., Ltd.",['2030'],,,1,", Ltd",,,
"Hulic Co., Ltd.",['2030'],,,2,commits to reduce absolute scope 1 and 2 GHG emissions 70% by 2030 from a 2019 base year,x,,
"Hulic Co., Ltd.",['2030'],,,3,Hulic Co,,,
"Hulic Co., Ltd.",['2030'],,,4,", Ltd",,,
"Hulic Co., Ltd.",['2030'],,,5,commits to increase annual sourcing of renewable electricity from 0% in 2019 to 100% by 2024,,,
"Hulic Co., Ltd.",['2030'],,,6,Hulic Co,,,
"Hulic Co., Ltd.",['2030'],,,7,", Ltd",,,
"Hulic Co., Ltd.",['2030'],,,8,also commits to reduce absolute scope 3 GHG emissions from use of sold products and downstream leased assets 30% by 2030 from a 2019 base year,x,,
Humlegården Fastigheter AB,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Humlegården Fastigheter AB,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Humlegården Fastigheter AB commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
Husqvarna AB,['2025'],,,0,"Husqvarna Group commits to reduce absolute scope 1, 2, and 3 GHG emissions 35% by 2025 from a 2015 base year",x,,
"Hwa Meei Optical Co., Ltd",['2029'],,,0,Hwa Meei Optical Co,,,
"Hwa Meei Optical Co., Ltd",['2029'],,,1,", Ltd commits to reduce absolute scope 1 and 2 GHG emissions 42% by 2029 from a 2019 base year",x,,
"Hwa Meei Optical Co., Ltd",['2029'],,,2,Hwa Meei Optical Co,,,
"Hwa Meei Optical Co., Ltd",['2029'],,,3,", Ltd also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, capital goods, and fuel and energy related activities 25% within the same timeframe",,,
Hyatt,['2030'],,,0,Global hospitality brand Hyatt commits to reduce absolute scope 1 and 2 GHG emissions 27,,,
Hyatt,['2030'],,,1,5% by 2030 from a 2019 base year,x,,
Hyatt,['2030'],,,2,"Hyatt commits to reduce scope 3 GHG emissions from fuel and energy-related activities, waste generated in operations, business travel, and franchises 53% per square meter by 2030 from a 2019 base year",x,,
Hyatt,['2030'],,,3,Hyatt commits that 41% of its suppliers by emissions covering purchased goods and services will have science-based targets by 2025,,,
Höegh Autoliners,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Höegh Autoliners,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/  Höegh Autoliners commits to reduce scope 1 and scope 2 GHG emissions 30% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
ICA Gruppen,['2025'],,,0,"ICA Group commits to reduce scopes 1, 2 and 3 GHG emissions 70% per square meter by 2025 from a 2006 base-year",x,,
ICA Gruppen,['2025'],,,1,"The target includes Scope 3 emissions from franchises, downstream transportation and business travel",,,
ICA Gruppen,['2025'],,,2,ICA Group also commits that suppliers covering 70% scope 3 emissions will set science-based targets by 2025,x,,
ICF,['2025'],,,0,ICF commits to reduce absolute scope 1 and 2 GHG emissions 23% by 2025 from a 2018 base year,x,,
ICF,['2025'],,,1,ICF commits to continue annually sourcing 100% renewable electricity through 2025,x,,
ICF,['2025'],,,2,ICF also commits to reduce scope 3 GHG emissions 30% per benefits-eligible employee by 2025 from a 2018 base year,x,,
"ICHIKAWA IRONWORKS CO., LTD",['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"ICHIKAWA IRONWORKS CO., LTD",['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ ICHIKAWA IRONWORKS CO.,LTD commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
IG International Private Limited,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
IG International Private Limited,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ IG International Private Limited commits to reduce scope 1 and scope 2 GHG emissions 23% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",x,,
IK Investment Partners Limited,['2030'],,,0,Headline target: IK Partners' portfolio targets cover 91% of its total investment and lending,,,
IK Investment Partners Limited,['2030'],,,1,activities by invested capital as of December 2021,,,
IK Investment Partners Limited,['2030'],,,2,https://sciencebasedtargets.org/resources/files/Target-language-and-summary_IK-Partners,,,
IK Investment Partners Limited,['2030'],,,3,docx,,,
IK Investment Partners Limited,['2030'],,,4,pdf,,,
IKEA,['2030'],,,0,"The IKEA home furnishing business commits to reduce absolute GHG emissions across the IKEA value chain (scope 1, 2 & 3) at least 15% by FY2030, from a FY2016 base year",x,,
IKEA,['2030'],,,1,"Inter IKEA Group commits to reduce scope 1 and 2 GHG emissions 80% by FY2030, from a FY2016 base-year",x,,
IKEA,['2030'],,,2,"For IKEA retail operations (scope 3), the franchisee Ingka Group commits to reduce absolute scope 1 and 2 GHG emissions 80% by FY2030, from FY2016",x,,
IKEA,['2030'],,,3,"Inter IKEA Group also commits to reduce absolute scope 3 GHG emissions from production at direct home furnishing, food, component and catalogue suppliers 80% by FY2030, from a FY2016 base year",x,,
IKEA,['2030'],,,4,"Inter IKEA Group and the franchisee Ingka Group commit to reduce scope 3 GHG emissions 50% per person for customer and co-worker travel and home deliveries by FY2030, from a FY2016 base year",x,,
IKEA,['2030'],,,5,"Inter IKEA Group includes the IKEA franchisor, range development (including food), supply and some manufacturing activities",,,
IKEA,['2030'],,,6,The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
INDURA,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
INDURA,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ INDURA A/S commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
INWIT (Infrastrutture Wireless Italiane SpA),['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
INWIT (Infrastrutture Wireless Italiane SpA),['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ INWIT (Infrastrutture Wireless Italiane SpA) commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
IPUT Plc,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
IPUT Plc,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/  IPUT Plc commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
"IREC Co.,Ltd.",['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"IREC Co.,Ltd.",['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/ IREC Co,,,
"IREC Co.,Ltd.",['2030'],,,2,",Ltd",,,
"IREC Co.,Ltd.",['2030'],,,3,"commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",x,,
ITALBRONZE LTDA,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
ITALBRONZE LTDA,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ ITALBRONZE LTDA commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
ITR Concession Company LLC,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
ITR Concession Company LLC,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ ITR Concession Company LLC commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
ITV,"['2030', '2025']",,,0,ITV commits to reduce absolute scope 1 and 2 GHG emissions 46% by 2030 from a 2019 base year*,x,,
ITV,"['2030', '2025']",,,1,ITV commits to increase annual sourcing of renewable electricity from 40% in 2019 to 100% by 2025,x,,
ITV,"['2030', '2025']",,,2,ITV commits to reduce absolute scope 3 GHG emissions 28% by 2030 from a 2019 base year,x,,
ITV,"['2030', '2025']",,,3,*The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
"IWATA&CO.,LTD",['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"IWATA&CO.,LTD",['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ IWATA&CO.,LTD commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
Ib Andresen Industri A/S,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Ib Andresen Industri A/S,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Ib Andresen Industri A/S commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
Iberdrola SA,['2030'],['2039'],['2039'],0,Overall Net-Zero Target,,,
Iberdrola SA,['2030'],['2039'],['2039'],1,Iberdrola SA commits to reach net-zero greenhouse gas emissions across the value chain by 2039 from a 2020 base year,,x,x
Iberdrola SA,['2030'],['2039'],['2039'],2,Near-Term Targets,,,
Iberdrola SA,['2030'],['2039'],['2039'],3,"Iberdrola SA commits to reduce absolute scope 1, 2 and 3 GHG emissions 65% by 2030 from a 2020 base year",x,,
Iberdrola SA,['2030'],['2039'],['2039'],4,"Within that target, Iberdrola SA commits to reduce scope 1 and 2 GHG emissions from power generation 83% per kWh by 2030 from a 2020 base year",x,,
Iberdrola SA,['2030'],['2039'],['2039'],5,Iberdrola SA also commits to reduce scope 1 and 3 GHG emissions from fuel and energy related activities covering all sold electricity 85% per kWh within the same timeframe,,,
Iberdrola SA,['2030'],['2039'],['2039'],6,Iberdrola SA further commits to reduce absolute scope 3 GHG emissions from use of sold products 42% within the same timeframe,,,
Iberdrola SA,['2030'],['2039'],['2039'],7,Iberdrola SA finally commits to reduce all remaining absolute scope 3 GHG emissions 46% within the same timeframe,,,
Iberdrola SA,['2030'],['2039'],['2039'],8,Long-Term Targets,,,
Iberdrola SA,['2030'],['2039'],['2039'],9,"Iberdrola commits to reduce scope 1, 2 and 3 emissions 90% by 2039 from a 2020 base year",,x,x
Iberdrola SA,['2030'],['2039'],['2039'],10,"Within that target, Iberdrola SA commits to reduce scope 1 and 2 GHG emissions from power generation 84% per kWh by 2039 from a 2020 base year",,x,x
Iberdrola SA,['2030'],['2039'],['2039'],11,Iberdrola SA also commits to reduce scope 1 and 3 GHG emissions from fuel and energy related activities covering all sold electricity 95% per kWh within the same timeframe,,,
Iberdrola SA,['2030'],['2039'],['2039'],12,Iberdrola SA further commits to reduce absolute scope 3 GHG emissions from use of sold products 90% within the same timeframe,,,
Iberdrola SA,['2030'],['2039'],['2039'],13,Iberdrola SA finally commits to reduce all remaining absolute scope 3 GHG emissions 90% within the same timeframe,,,
Iberostar Hotels and Resorts,['2030'],,,0,Iberostar Hotels & Resorts commits to reduce absolute scope 1 and 2 GHG emissions 85% by 2030 from a 2019 base year,x,,
Iberostar Hotels and Resorts,['2030'],,,1,"* Iberostar Hotels & Resorts also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, capital goods, fuel and energy related activities, waste generated in operations, business travel and employee commuting 50% within the same timeframe",,,
Iberostar Hotels and Resorts,['2030'],,,2,*The target boundary includes land-related emissions and removals from bioenergy feedstocks,,,
Icade,['2030'],['2050'],['2050'],0,Overall Net-Zero Target Icade commits to reach net-zero greenhouse gas emissions across the value chain by 2050 from a 2019 base year,,x,x
Icade,['2030'],['2050'],['2050'],1,Near-Term Targets Icade commits to reduce absolute scope 1 and 2 GHG emissions 55% by 2030 from a 2019 base year,x,,
Icade,['2030'],['2050'],['2050'],2,Icade also commits to reduce absolute scope 3 GHG emissions 27,,,
Icade,['2030'],['2050'],['2050'],3,5% within the same timeframe,,,
Icade,['2030'],['2050'],['2050'],4,"Long-Term Targets Icade further commits to reduce absolute scope 1, 2 and 3 GHG emissions 90% by 2050 from a 2019 base year",,x,x
Identity Holdings Ltd.,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Identity Holdings Ltd.,['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/ Identity Holdings Ltd,,,
Identity Holdings Ltd.,['2030'],,,2,"commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
Ignition DG Ltd,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Ignition DG Ltd,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Ignition DG Ltd commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
Ignitis Group,['2030'],,,0,Ignitis Group commits to reduce scope 1 GHG emissions from electricity and heat generation 94% per MWh by 2030 from a 2020 base year,x,,
Ignitis Group,['2030'],,,1,Ignitis Group also commits to reduce scope 1 and 3 GHG emissions from all sold electricity and heat 90% per MWh within the same timeframe,,,
Ignitis Group,['2030'],,,2,* Ignitis Group commits to reduce absolute scope 1 and 2 GHG emissions from all other sources 42% and reduce absolute scope 3 GHG emissions from use of sold products 42% within the same timeframe,,,
Ignitis Group,['2030'],,,3,*The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
"Illumina, Inc.",['2030'],['2050'],['2050'],0,Overall Net-Zero Target,,,
"Illumina, Inc.",['2030'],['2050'],['2050'],1,"Illumina, Inc",,,
"Illumina, Inc.",['2030'],['2050'],['2050'],2,commits to reach net zero greenhouse gas emissions across direct operations  and the value chain by 2050 from a 2019 base year,,x,x
"Illumina, Inc.",['2030'],['2050'],['2050'],3,Near-Term Targets,,,
"Illumina, Inc.",['2030'],['2050'],['2050'],4,"Illumina, Inc",,,
"Illumina, Inc.",['2030'],['2050'],['2050'],5,commits to reduce absolute scope 1 and 2 GHG emissions 46% by 2030 from a  2019 base year,x,,
"Illumina, Inc.",['2030'],['2050'],['2050'],6,"Illumina, Inc",,,
"Illumina, Inc.",['2030'],['2050'],['2050'],7,also commits to increase annual sourcing of renewable  electricity from 0,,,
"Illumina, Inc.",['2030'],['2050'],['2050'],8,6% in 2019 to 100% by 2030,x,,
"Illumina, Inc.",['2030'],['2050'],['2050'],9,"Illumina, Inc",,,
"Illumina, Inc.",['2030'],['2050'],['2050'],10,"further commits to reduce  absolute scope 3 GHG emissions from purchased goods and services, capital goods, upstream  transportation and distribution, business travel, employee commuting and investments 46%  by 2030 from a 2019 base year",x,,
"Illumina, Inc.",['2030'],['2050'],['2050'],11,Long-Term Targets,,,
"Illumina, Inc.",['2030'],['2050'],['2050'],12,"Illumina, Inc",,,
"Illumina, Inc.",['2030'],['2050'],['2050'],13,commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2050 from a  2019 base year,,x,x
"Illumina, Inc.",['2030'],['2050'],['2050'],14,"Illumina, Inc",,,
"Illumina, Inc.",['2030'],['2050'],['2050'],15,"commits to reduce absolute scope 3 emissions from purchased  goods and services, capital goods, upstream transportation and distribution, business travel,  employee commuting and investments 90% by 2050 from a 2019 base year",,x,x
Imerys,"['2030', '2023']",,,0,French multinational company IMERYS commits to reduce scope 1 and 2 GHG emissions 36% per million Euros of revenue by 2030 from a 2018 base year,x,,
Imerys,"['2030', '2023']",,,1,IMERYS also commits that 71% of its suppliers by spend will have science-based targets by 2023,x,,
Imerys,"['2030', '2023']",,,2,*A footnote will be included alongside the official target wording on the SBTi website: “The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
Imerys,"['2030', '2023']",,,3,”,,,
Imperial Brands,"['2030', '2023']",,,0,British multinational tobacco company Imperial Brands commits to reduce absolute scope 1 and 2 GHG emissions 25% by 2030 from a 2017 base year,x,,
Imperial Brands,"['2030', '2023']",,,1,Imperial Brands commits to reduce absolute scope 3 GHG emissions by 20% by 2030 from a 2017 base year,x,,
Imperial Brands,"['2030', '2023']",,,2,"Imperial Brands also commits that 50% of its suppliers by spend covering purchased goods and services, will set science-based targets by 2023",x,,
Inditex,['2030'],,,0,Inditex commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2030 from a 2018 base year,x,,
Inditex,['2030'],,,1,Inditex also commits to reduce absolute scope 3 GHG emissions 20% by 2030 from a 2018 base year,x,,
Indo Count,"['FY2030', '2030']",,,0,Indo Count Industries Ltd,,,
Indo Count,"['FY2030', '2030']",,,1,commits to reduce absolute scope 1 and 2 GHG emissions 33,,,
Indo Count,"['FY2030', '2030']",,,2,0% by FY 2030 from a FY2018 base year,x,,
Indo Count,"['FY2030', '2030']",,,3,Indo Count Industries Ltd,,,
Indo Count,"['FY2030', '2030']",,,4,also commits to reduce absolute scope 3 GHG emissions 14,,,
Indo Count,"['FY2030', '2030']",,,5,8% by FY2030 from a FY2018 base year,x,,
Indra,['2030'],,,0,Indra commits to reduce absolute 1 and 2 GHG emissions 50% by 2030 and 100% by 2040 from a 2019 base year,x,,
Indra,['2030'],,,1,"Indra also commits to reduce absolute 3 GHG emissions from purchased goods and services, business travel and employee commuting 14% by 2030 and 50% by 2040 from a 2019 base year",x,,
Informa plc,['2030'],,,0,Multinational events and publishing company Informa commits to reduce absolute Scope 1 and 2 GHG emissions 55% by 2030 from a 2017 base year,x,,
Informa plc,['2030'],,,1,Informa commits to reduce absolute Scope 3 GHG emissions 20% by 2030 from a 2017 base year,x,,
Informed Solutions Ltd,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Informed Solutions Ltd,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Informed Solutions Ltd commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
Infosys Limited,"['2025', '2035']",,,0,Infosys Limited commits to reduce absolute scope 1 and 2 GHG emissions 12,,,
Infosys Limited,"['2025', '2035']",,,1,5% by FY2025 and 37,x,,
Infosys Limited,"['2025', '2035']",,,2,5% by FY2035 from a FY2020 base year,x,,
Infosys Limited,"['2025', '2035']",,,3,Infosys Limited also commits to reduce absolute scope 3 GHG emissions 12,,,
Infosys Limited,"['2025', '2035']",,,4,5% by FY2025 and 37,x,,
Infosys Limited,"['2025', '2035']",,,5,5% by FY2035 from a FY2020 base year,x,,
Infraconcepts Netherlands B.V.,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Infraconcepts Netherlands B.V.,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Infraconcepts Netherlands B.B. commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
Ingka Group,['2030'],,,0,"Largest IKEA retailer Ingka Group commits to reduce absolute scope 1 and 2 GHG emissions 80% by FY2030, from FY2016",x,,
Ingka Group,['2030'],,,1,"Ingka Group also commits to reduce scope 3 GHG emissions from customer and co-worker travel and customer deliveries 50% per person by FY2030, from a FY2016 base year",x,,
Ingka Group,['2030'],,,2,"Inter IKEA Group, which is responsible for developing the IKEA range and supply chain, commits to reduce emissions relating to home furnishing products and food by at least 15% in absolute terms for the same period",,,
Ingka Group,['2030'],,,3,The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
Inmarsat Global Limited,['2030'],,,0,Inmarsat commits to reduce absolute scope 1 and 2 GHG emissions 64% by 2030 from a 2019 base year,x,,
Inmarsat Global Limited,['2030'],,,1,Inmarsat also commits to reduce absolute scope 3 GHG emissions 28% by 2030 from a 2019 base year,x,,
"Inmobiliaria Colonial, SOCIMI, S.A.",,,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"Inmobiliaria Colonial, SOCIMI, S.A.",,,,1,"https://sciencebasedtargets.org/faqs-for-smes/Inmobiliaria Colonial, SOCIMI, S.A. commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",,,
Instone Real Estate Group SE,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Instone Real Estate Group SE,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Instone Real Estate Group SE commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
InterContinental Hotels Group PLC,['2030'],,,0,"Intercontinental Hotels Group commits to reduce absolute scope 1, 2, and scope 3 GHG emissions from fuel and energy-related activities and franchises 46",,,
InterContinental Hotels Group PLC,['2030'],,,1,2% by 2030 from a 2019 base year,x,,
Interface,['2030'],,,0,Interface commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year,x,,
Interface,['2030'],,,1,Interface commits to reduce absolute scope 3 GHG emissions from purchased goods and services 50% and from business travel and employee commuting 30% within the same timeframe,,,
